fips,Mean_2019,Mean_2020,Mean_difference
6005,0.657142665,0.575839598,-0.081303067
6007,0.607420249,0.618582215,0.011161966
6009,0.428487918,0.348760287,-0.079727631
6011,0.342091395,0.341755301,-0.000336094
6013,5.289262098,5.679344786,0.390082688
6015,0.282493461,0.235006875,-0.047486586
6017,0.605381304,0.584998824,-0.02038248
6019,1.305249026,1.191009759,-0.114239267
6021,0.425725989,0.274619095,-0.151106894
6023,0.285993661,0.229296786,-0.056696875
6025,0.884358406,0.797787163,-0.086571243
6027,0.260222631,0.197304068,-0.062918563
6029,1.256551298,1.192684635,-0.063866663
6031,1.246720707,1.170394356,-0.076326351
6033,0.357549883,0.298430115,-0.059119768
6035,0.265542922,0.231239934,-0.034302988
6037,11.74870405,12.23541036,0.48670631
6039,0.819318098,0.675952348,-0.14336575
6041,0.974419841,0.978311053,0.003891212
6043,0.291557669,0.221276969,-0.0702807
6045,0.276408445,0.22048249,-0.055925955
6047,1.229853426,1.123987142,-0.105866284
6049,0.217181198,0.173950249,-0.043230949
6051,0.268992223,0.218010329,-0.050981894
6053,0.735022948,0.667722273,-0.067300675
6055,1.027139946,0.857426713,-0.169713233
6057,0.478717919,0.448612605,-0.030105314
6059,18.29336766,19.02848461,0.73511695
6061,1.650078296,1.783496803,0.133418507
6063,0.280823194,0.2048115,-0.076011694
6065,2.935934092,2.743480655,-0.192453437
6067,7.376719856,8.345179983,0.968460127
6069,0.424465384,0.365178591,-0.059286793
6071,1.178400568,1.098563329,-0.079837239
6073,3.365765396,3.351984221,-0.013781175
6075,6.538049321,7.279898548,0.741849227
6077,3.911538578,3.878643075,-0.032895503
6079,0.557461685,0.488270036,-0.069191649
6081,3.521729341,3.830769544,0.309040203
6083,0.683951613,0.66175732,-0.022194293
6085,5.655819114,5.733064796,0.077245682
6087,1.281538721,1.269796577,-0.011742144
6089,0.401772549,0.397736989,-0.00403556
6091,0.271188077,0.210436901,-0.060751176
6093,0.235832266,0.189289752,-0.046542514
6095,2.637209552,2.763111135,0.125901583
6097,0.971583611,1.072018712,0.100435101
6099,2.612071321,2.466424287,-0.145647034
6101,0.822499205,0.948742322,0.126243117
6103,0.358862459,0.281004319,-0.07785814
6105,0.263722188,0.172738747,-0.090983441
6107,0.966572392,0.833088523,-0.133483869
6109,0.360484723,0.290189351,-0.070295372
6111,2.84058943,2.952747801,0.112158371
6113,1.42674059,1.540822795,0.114082205
6115,0.774551672,0.859144533,0.084592861
8001,3.989494569,4.645051373,0.655556804
8003,0.524125854,0.503378227,-0.020747627
8005,5.498678141,6.296678495,0.798000354
8007,0.289332657,0.236589545,-0.052743112
8009,0.268521383,0.214144588,-0.054376795
8011,0.273360717,0.231671591,-0.041689126
8013,2.439963899,2.891226935,0.451263036
8014,14.83029484,18.35535071,3.52505587
8015,0.357118224,0.351955738,-0.005162486
8017,0.237789804,0.208422413,-0.029367391
8019,0.47075974,0.485857552,0.015097812
8021,0.31206148,0.249543963,-0.062517517
8023,0.293559664,0.227898223,-0.065661441
8025,0.368897194,0.295150106,-0.073747088
8027,0.28647614,0.236314428,-0.050161712
8029,0.338746634,0.282659831,-0.056086803
8031,31.8549686,39.93387417,8.07890557
8033,0.249774629,0.208262427,-0.041512202
8035,2.867410222,3.179315058,0.311904836
8037,0.366285522,0.364755571,-0.001529951
8039,0.342197864,0.331935261,-0.010262603
8041,2.635790073,2.909328068,0.273537995
8043,0.527480711,0.541174023,0.013693312
8045,0.381480357,0.336756326,-0.044724031
8047,0.800098394,0.86301435,0.062915956
8049,0.352392192,0.305745626,-0.046646566
8051,0.275035184,0.231839874,-0.04319531
8053,0.254593925,0.200968449,-0.053625476
8055,0.287629462,0.242540774,-0.045088688
8057,0.243576871,0.220023885,-0.023552986
8059,4.503185157,5.5300183,1.026833143
8061,0.23484642,0.197600638,-0.037245782
8063,0.261579037,0.243307873,-0.018271164
8065,0.392517494,0.405176469,0.012658975
8067,0.380997627,0.383464807,0.00246718
8069,0.995178484,1.052888577,0.057710093
8071,0.296622633,0.25006827,-0.046554363
8073,0.266549327,0.235231681,-0.031317646
8075,0.364290557,0.337672111,-0.026618446
8077,0.466027606,0.47042647,0.004398864
8079,0.259433339,0.204944013,-0.054489326
8081,0.269376412,0.251659122,-0.01771729
8083,0.321417902,0.285079894,-0.036338008
8085,0.331448522,0.294018748,-0.037429774
8087,0.47838441,0.501093418,0.022709008
8089,0.399068139,0.35976557,-0.039302569
8091,0.265463444,0.232761046,-0.032702398
8093,0.261573298,0.239893189,-0.021680109
8095,0.285411981,0.254232808,-0.031179173
8097,0.289245219,0.277249254,-0.011995965
8099,0.309074019,0.286877275,-0.022196744
8101,0.818075352,0.834569411,0.016494059
8103,0.282928952,0.274711567,-0.008217385
8105,0.37550938,0.341382688,-0.034126692
8107,0.321256345,0.293926141,-0.027330204
8109,0.250371162,0.206156794,-0.044214368
8111,0.279889264,0.232818859,-0.047070405
8113,0.251844121,0.21537503,-0.036469091
8115,0.293955108,0.258660728,-0.03529438
8117,0.690642521,0.702590462,0.011947941
8119,0.553984479,0.568812281,0.014827802
8121,0.246208222,0.220655295,-0.025552927
8123,0.992230955,1.125402448,0.133171493
8125,0.277800968,0.253637923,-0.024163045
9001,3.643937167,3.585520414,-0.058416753
9003,5.555637667,5.86734278,0.311705113
9005,0.812151972,0.817179046,0.005027074
9007,1.831655684,1.812243281,-0.019412403
9009,4.103402041,4.210530385,0.107128344
9011,1.824642856,1.820247366,-0.00439549
9013,1.552648221,1.599762275,0.047114054
9015,1.123253963,1.158820325,0.035566362
10001,1.822360998,2.167564459,0.345203461
10003,7.249294431,7.745171003,0.495876572
10005,1.573989178,1.949258818,0.37526964
11001,59.61350138,68.60474273,8.99124135
12001,2.274031436,2.278194568,0.004163132
12003,0.67549779,0.596479489,-0.079018301
12005,2.074613478,1.864296809,-0.210316669
12007,1.078013428,1.07625604,-0.001757388
12009,3.34119224,3.321327774,-0.019864466
12011,13.16346489,13.35472935,0.19126446
12013,0.502649287,0.422258004,-0.080391283
12015,2.172562879,2.096239564,-0.076323315
12017,1.433070542,1.419364152,-0.01370639
12019,2.240124027,2.262621982,0.022497955
12021,1.668304018,1.611269709,-0.057034309
12023,1.108719059,1.066124598,-0.042594461
12027,0.747885106,0.672077331,-0.075807775
12029,0.381863267,0.313079963,-0.068783304
12031,10.59141918,10.67605262,0.08463344
12033,3.246002386,3.11648215,-0.129520236
12035,1.442402263,1.411200396,-0.031201867
12037,0.343659173,0.269463214,-0.074195959
12039,1.063435374,1.034326034,-0.02910934
12041,0.578602688,0.52403999,-0.054562698
12043,0.45322726,0.357189874,-0.096037386
12045,0.461882465,0.385028432,-0.076854033
12047,0.768135225,0.733405059,-0.034730166
12049,0.829521947,0.774784606,-0.054737341
12051,0.691426113,0.592745942,-0.098680171
12053,2.307836491,2.222015891,-0.0858206
12055,1.066667659,1.006968073,-0.059699586
12057,10.11742594,10.2582334,0.14080746
12059,0.649562967,0.604754894,-0.044808073
12061,2.270564446,2.215580507,-0.054983939
12063,0.988167497,0.943855709,-0.044311788
12065,0.484597823,0.424128322,-0.060469501
12067,0.401627421,0.339301675,-0.062325746
12069,3.141927542,3.102025972,-0.03990157
12071,5.019867136,4.954537486,-0.06532965
12073,3.173216003,3.302310037,0.129094034
12075,0.439035319,0.373482182,-0.065553137
12077,0.366104146,0.305238479,-0.060865667
12079,0.628355393,0.567889547,-0.060465846
12081,3.723707556,3.699439963,-0.024267593
12083,2.211103074,2.18178063,-0.029322444
12085,2.341992548,2.257960943,-0.084031605
12086,11.18918162,11.46278375,0.27360213
12087,0.422545316,0.336523018,-0.086022298
12089,1.251229958,1.177668846,-0.073561112
12091,2.052147411,1.962771614,-0.089375797
12093,0.749165162,0.666393468,-0.082771694
12095,16.07055562,16.48473904,0.41418342
12097,2.873121351,2.850050045,-0.023071306
12099,5.985737386,5.949046746,-0.03669064
12101,4.403136742,4.29798484,-0.105151902
12103,9.122471418,9.428442149,0.305970731
12105,3.866073163,3.827856436,-0.038216727
12107,1.139712895,1.136091733,-0.003621162
12109,2.588508519,2.518198339,-0.07031018
12111,4.031756659,3.99150016,-0.040256499
12113,1.545107748,1.494260377,-0.050847371
12115,3.900920242,3.899147939,-0.001772303
12117,10.36441359,10.30195418,-0.06245941
12119,3.285762284,3.021916946,-0.263845338
12121,0.865275773,0.817751554,-0.047524219
12123,0.424519319,0.361512582,-0.063006737
12125,0.771659262,0.745072848,-0.026586414
12127,3.154591021,3.136063764,-0.018527257
12129,0.455859493,0.39013654,-0.065722953
12131,0.880868603,0.814230422,-0.066638181
12133,0.697812306,0.655271642,-0.042540664
13001,0.851346645,0.788733758,-0.062612887
13003,0.515201546,0.45378677,-0.061414776
13005,0.748371426,0.696816983,-0.051554443
13007,0.433943937,0.38057565,-0.053368287
13009,2.112661784,2.076051063,-0.036610721
13011,0.958024483,0.963891646,0.005867163
13013,4.08840874,3.93650463,-0.15190411
13015,2.612196411,2.608282634,-0.003913777
13017,1.038349464,1.059017561,0.020668097
13019,0.688225012,0.641433925,-0.046791087
13021,8.209943217,8.253858226,0.043915009
13023,0.82656456,0.777928631,-0.048635929
13025,0.573026863,0.5055179,-0.067508963
13027,0.684733542,0.662188259,-0.022545283
13029,1.101068352,1.006854759,-0.094213593
13031,1.490119167,1.509999576,0.019880409
13033,1.083840739,1.09806531,0.014224571
13035,2.041667585,1.996413483,-0.045254102
13037,0.515559292,0.46743585,-0.048123442
13039,1.04715402,1.004210359,-0.042943661
13043,0.867795962,0.858140628,-0.009655334
13045,2.308768354,2.447386784,0.13861843
13047,3.32260737,3.457070176,0.134462806
13049,0.448245893,0.38537522,-0.062870673
13051,6.880832962,6.685983649,-0.194849313
13053,1.848630189,1.915487578,0.066857389
13055,0.791978465,0.777627176,-0.014351289
13057,4.212822581,4.1805827,-0.032239881
13059,7.591799341,7.391007085,-0.200792256
13061,0.450431938,0.387513245,-0.062918693
13063,20.74359035,21.22305965,0.4794693
13065,0.410580179,0.346802478,-0.063777701
13067,17.10826755,17.81526614,0.70699859
13069,1.013714224,0.962877099,-0.050837125
13071,1.143037705,1.116765173,-0.026272532
13073,4.247609118,4.073117152,-0.174491966
13075,1.547344066,1.54563563,-0.001708436
13077,2.992401587,3.01538276,0.022981173
13079,0.672152643,0.660344679,-0.011807964
13081,1.661278276,1.6001497,-0.061128576
13083,1.063076369,1.099914672,0.036838303
13085,1.209683548,1.177230439,-0.032453109
13087,0.819422248,0.763853738,-0.05556851
13089,20.43012708,21.16392955,0.73380247
13091,0.689906709,0.644303406,-0.045603303
13093,0.79465027,0.720263918,-0.074386352
13095,4.448964858,4.422491766,-0.026473092
13097,6.248231623,6.459552991,0.211321368
13099,0.648589039,0.606370934,-0.042218105
13101,0.394043727,0.337698312,-0.056345415
13103,1.377956864,1.223301538,-0.154655326
13105,0.806789008,0.770268053,-0.036520955
13107,0.737488961,0.707909167,-0.029579794
13109,1.029065001,1.03804836,0.008983359
13111,0.636105799,0.591040769,-0.04506503
13113,5.180419117,5.198447482,0.018028365
13115,1.99243963,1.951085976,-0.041353654
13117,6.725490832,6.931812244,0.206321412
13119,1.238034966,1.255719201,0.017684235
13121,20.32995377,20.92050329,0.59054952
13123,0.675536464,0.623311002,-0.052225462
13125,0.510196547,0.456992649,-0.053203898
13127,2.144317815,2.077168883,-0.067148932
13129,1.605011485,1.628174451,0.023162966
13131,0.864402108,0.812140646,-0.052261462
13133,0.778049457,0.716074385,-0.061975072
13135,14.7910373,15.1744416,0.3834043
13137,1.378726234,1.372701958,-0.006024276
13139,3.924924872,4.085980807,0.161055935
13141,0.565239889,0.510458037,-0.054781852
13143,1.169082869,1.159804004,-0.009278865
13145,0.845680577,0.801751707,-0.04392887
13147,1.257053468,1.21895972,-0.038093748
13149,0.710816493,0.713266935,0.002450442
13151,7.36305902,7.298817169,-0.064241851
13153,4.983377597,5.048860043,0.065482446
13155,0.560786656,0.516705535,-0.044081121
13157,2.870119357,2.786261584,-0.083857773
13159,0.659726911,0.620476433,-0.039250478
13161,0.784980452,0.72787986,-0.057100592
13163,0.790644931,0.760231979,-0.030412952
13165,0.554986179,0.507864758,-0.047121421
13167,0.611967802,0.566863826,-0.045103976
13169,0.956478323,0.906280609,-0.050197714
13171,1.316850677,1.309838368,-0.007012309
13173,0.692961924,0.683641964,-0.00931996
13175,1.067902906,1.038464814,-0.029438092
13177,1.009933235,0.992165692,-0.017767543
13179,1.720854845,1.623566659,-0.097288186
13181,0.622897345,0.569711426,-0.053185919
13183,0.574593147,0.514004827,-0.06058832
13185,3.302593004,3.507719755,0.205126751
13187,0.7964681,0.80512523,0.00865713
13189,1.26073918,1.247241297,-0.013497883
13191,0.545942113,0.475218894,-0.070723219
13193,0.708505065,0.664441009,-0.044064056
13195,0.93787695,0.908623649,-0.029253301
13197,0.486031616,0.45084099,-0.035190626
13199,0.725075413,0.678469308,-0.046606105
13201,0.587508326,0.537312224,-0.050196102
13205,0.869806323,0.858165548,-0.011640775
13207,1.353196451,1.322962172,-0.030234279
13209,0.66306303,0.632005678,-0.031057352
13211,1.068508113,0.993992047,-0.074516066
13213,0.985639401,0.953671772,-0.031967629
13215,10.02706827,10.21256658,0.18549831
13217,3.814340826,3.854699645,0.040358819
13219,1.88998187,1.902017883,0.012036013
13221,0.574071265,0.522634935,-0.05143633
13223,3.246980193,3.245247389,-0.001732804
13225,6.97836914,8.024157818,1.045788678
13227,1.091032736,1.072593707,-0.018439029
13229,0.77133477,0.697883733,-0.073451037
13231,0.903902816,0.869108587,-0.034794229
13233,1.278647369,1.391982904,0.113335535
13235,0.679103746,0.644237975,-0.034865771
13237,0.874345351,0.814681306,-0.059664045
13239,0.533304824,0.492073099,-0.041231725
13241,0.565091291,0.533698348,-0.031392943
13243,0.477587769,0.418458252,-0.059129517
13245,9.841761069,10.02012581,0.178364741
13247,7.446349535,7.577458617,0.131109082
13249,0.508169791,0.468259722,-0.039910069
13251,0.523282648,0.461430669,-0.061851979
13253,0.686466425,0.622239872,-0.064226553
13255,3.629171327,3.746010135,0.116838808
13257,1.579493239,1.59479469,0.015301451
13259,0.421476894,0.380392929,-0.041083965
13261,0.994129452,0.960994554,-0.033134898
13263,0.501212697,0.452300071,-0.048912626
13265,0.436742316,0.375875427,-0.060866889
13267,0.794749591,0.749040684,-0.045708907
13269,0.565197557,0.521859623,-0.043337934
13271,0.627264375,0.571392893,-0.055871482
13273,0.624972752,0.611618458,-0.013354294
13275,1.319992487,1.341018995,0.021026508
13277,2.77257316,2.798200193,0.025627033
13279,1.221153263,1.198963733,-0.02218953
13281,0.681958514,0.681470782,-0.000487732
13283,0.581371227,0.536994931,-0.044376296
13285,2.157958085,2.147275112,-0.010682973
13287,0.775055541,0.708627807,-0.066427734
13289,0.812197639,0.803354655,-0.008842984
13291,0.643350798,0.608117175,-0.035233623
13293,1.104358238,1.099003926,-0.005354312
13295,1.135892957,1.153025044,0.017132087
13297,2.705922855,2.726968954,0.021046099
13299,0.83702715,0.772789416,-0.064237734
13301,0.695026751,0.600587738,-0.094439013
13303,0.812194539,0.77298635,-0.039208189
13305,0.794532027,0.749364071,-0.045167956
13307,0.497637144,0.442305574,-0.05533157
13309,0.524940947,0.470663753,-0.054277194
13311,1.022128666,1.012415659,-0.009713007
13313,2.990034706,3.125642256,0.13560755
13315,0.496963279,0.450926896,-0.046036383
13317,0.514588904,0.45960453,-0.054984374
13319,0.765686583,0.760975584,-0.004710999
13321,0.907533001,0.899984162,-0.007548839
15001,0.285352838,0.193518048,-0.09183479
15003,1.676837161,1.614166928,-0.062670233
15005,0.21624695,0.137772084,-0.078474866
15007,0.318629384,0.237607265,-0.081022119
15009,0.416888563,0.332389938,-0.084498625
16001,2.876947697,2.755335086,-0.121612611
16003,0.270028613,0.189553897,-0.080474716
16005,0.695952905,0.781567311,0.085614406
16007,0.290521029,0.253451187,-0.037069842
16009,0.29070511,0.277443219,-0.013261891
16011,0.392007265,0.356158425,-0.03584884
16013,0.257168465,0.215340867,-0.041827598
16015,0.242895133,0.196107229,-0.046787904
16017,0.269985024,0.274404286,0.004419262
16019,0.758161828,0.704231608,-0.05393022
16021,0.212605052,0.208383033,-0.004222019
16023,0.298172988,0.252588627,-0.045584361
16025,0.236641526,0.192655828,-0.043985698
16027,2.428401162,2.253486467,-0.174914695
16029,0.389413695,0.332491157,-0.056922538
16031,0.408180994,0.322237568,-0.085943426
16033,0.244151072,0.196347341,-0.047803731
16035,0.235731161,0.194159034,-0.041572127
16037,0.229989462,0.185298201,-0.044691261
16039,0.303479836,0.26318323,-0.040296606
16041,0.316005385,0.283838289,-0.032167096
16043,0.287473686,0.226197763,-0.061275923
16045,0.350528348,0.301761366,-0.048766982
16047,0.450940258,0.404276634,-0.046663624
16049,0.224011039,0.178467332,-0.045543707
16051,0.394448828,0.333345306,-0.061103522
16053,0.751384144,0.766511589,0.015127445
16055,0.890509229,1.041740231,0.151231002
16057,0.359524169,0.366369101,0.006844932
16059,0.231983791,0.181189633,-0.050794158
16061,0.284629044,0.250161653,-0.034467391
16063,0.269757968,0.229915018,-0.03984295
16065,0.76288511,0.703841397,-0.059043713
16067,0.501496109,0.463899096,-0.037597013
16069,0.557351384,0.556902632,-0.000448752
16071,0.260542364,0.214670825,-0.045871539
16073,0.214519119,0.173668144,-0.040850975
16075,0.618570046,0.538994874,-0.079575172
16077,0.310217287,0.275102317,-0.03511497
16079,0.241187662,0.211585061,-0.029602601
16081,0.357577884,0.295850604,-0.06172728
16083,0.522906108,0.509387205,-0.013518903
16085,0.241498686,0.189838972,-0.051659714
16087,0.334489754,0.201342306,-0.133147448
17001,0.90441801,0.916208737,0.011790727
17003,0.76886869,0.720020849,-0.048847841
17005,0.804417878,0.759748363,-0.044669515
