fips,Mean_ntl_2020,Mean_ntl_2019,mean_ntl
8057,0.243576871,0.220023885,0.231800378
8059,4.503185157,5.5300183,5.016601729
8061,0.23484642,0.197600638,0.216223529
8063,0.261579037,0.243307873,0.252443455
8065,0.392517494,0.405176469,0.398846982
8067,0.380997627,0.383464807,0.382231217
8069,0.995178484,1.052888577,1.024033531
8071,0.296622633,0.25006827,0.273345452
8073,0.266549327,0.235231681,0.250890504
8075,0.364290557,0.337672111,0.350981334
8077,0.466027606,0.47042647,0.468227038
8079,0.259433339,0.204944013,0.232188676
8081,0.269376412,0.251659122,0.260517767
8083,0.321417902,0.285079894,0.303248898
8085,0.331448522,0.294018748,0.312733635
8087,0.47838441,0.501093418,0.489738914
8089,0.399068139,0.35976557,0.379416855
8091,0.265463444,0.232761046,0.249112245
8093,0.261573298,0.239893189,0.250733244
8095,0.285411981,0.254232808,0.269822395
8097,0.289245219,0.277249254,0.283247237
8099,0.309074019,0.286877275,0.297975647
8101,0.818075352,0.834569411,0.826322382
8103,0.282928952,0.274711567,0.27882026
8105,0.37550938,0.341382688,0.358446034
8107,0.321256345,0.293926141,0.307591243
8109,0.250371162,0.206156794,0.228263978
8111,0.279889264,0.232818859,0.256354062
8113,0.251844121,0.21537503,0.233609576
8115,0.293955108,0.258660728,0.276307918
8117,0.690642521,0.702590462,0.696616492
8119,0.553984479,0.568812281,0.56139838
8121,0.246208222,0.220655295,0.233431759
8123,0.992230955,1.125402448,1.058816702
8125,0.277800968,0.253637923,0.265719446
9001,3.643937167,3.585520414,3.614728791
9003,5.555637667,5.86734278,5.711490224
9005,0.812151972,0.817179046,0.814665509
9007,1.831655684,1.812243281,1.821949483
9009,4.103402041,4.210530385,4.156966213
9011,1.824642856,1.820247366,1.822445111
9013,1.552648221,1.599762275,1.576205248
9015,1.123253963,1.158820325,1.141037144
10001,1.822360998,2.167564459,1.994962729
10003,7.249294431,7.745171003,7.497232717
10005,1.573989178,1.949258818,1.761623998
11001,59.61350138,68.60474273,64.10912206
12001,2.274031436,2.278194568,2.276113002
12003,0.67549779,0.596479489,0.63598864
12005,2.074613478,1.864296809,1.969455144
12007,1.078013428,1.07625604,1.077134734
12009,3.34119224,3.321327774,3.331260007
12011,13.16346489,13.35472935,13.25909712
12013,0.502649287,0.422258004,0.462453646
12015,2.172562879,2.096239564,2.134401222
12017,1.433070542,1.419364152,1.426217347
12019,2.240124027,2.262621982,2.251373005
12021,1.668304018,1.611269709,1.639786864
12023,1.108719059,1.066124598,1.087421829
12027,0.747885106,0.672077331,0.709981219
12029,0.381863267,0.313079963,0.347471615
12031,10.59141918,10.67605262,10.6337359
12033,3.246002386,3.11648215,3.181242268
12035,1.442402263,1.411200396,1.42680133
12037,0.343659173,0.269463214,0.306561194
12039,1.063435374,1.034326034,1.048880704
12041,0.578602688,0.52403999,0.551321339
12043,0.45322726,0.357189874,0.405208567
12045,0.461882465,0.385028432,0.423455449
12047,0.768135225,0.733405059,0.750770142
12049,0.829521947,0.774784606,0.802153277
12051,0.691426113,0.592745942,0.642086028
12053,2.307836491,2.222015891,2.264926191
12055,1.066667659,1.006968073,1.036817866
12057,10.11742594,10.2582334,10.18782967
12059,0.649562967,0.604754894,0.627158931
12061,2.270564446,2.215580507,2.243072477
12063,0.988167497,0.943855709,0.966011603
12065,0.484597823,0.424128322,0.454363073
12067,0.401627421,0.339301675,0.370464548
12069,3.141927542,3.102025972,3.121976757
12071,5.019867136,4.954537486,4.987202311
12073,3.173216003,3.302310037,3.23776302
12075,0.439035319,0.373482182,0.406258751
12077,0.366104146,0.305238479,0.335671313
12079,0.628355393,0.567889547,0.59812247
12081,3.723707556,3.699439963,3.71157376
12083,2.211103074,2.18178063,2.196441852
12085,2.341992548,2.257960943,2.299976746
12086,11.18918162,11.46278375,11.32598269
12087,0.422545316,0.336523018,0.379534167
12089,1.251229958,1.177668846,1.214449402
12091,2.052147411,1.962771614,2.007459513
12093,0.749165162,0.666393468,0.707779315
12095,16.07055562,16.48473904,16.27764733
12097,2.873121351,2.850050045,2.861585698
12099,5.985737386,5.949046746,5.967392066
12101,4.403136742,4.29798484,4.350560791
12103,9.122471418,9.428442149,9.275456784
12105,3.866073163,3.827856436,3.8469648
12107,1.139712895,1.136091733,1.137902314
12109,2.588508519,2.518198339,2.553353429
12111,4.031756659,3.99150016,4.01162841
12113,1.545107748,1.494260377,1.519684063
12115,3.900920242,3.899147939,3.900034091
12117,10.36441359,10.30195418,10.33318389
12119,3.285762284,3.021916946,3.153839615
12121,0.865275773,0.817751554,0.841513664
12123,0.424519319,0.361512582,0.393015951
12125,0.771659262,0.745072848,0.758366055
12127,3.154591021,3.136063764,3.145327393
12129,0.455859493,0.39013654,0.422998017
12131,0.880868603,0.814230422,0.847549513
12133,0.697812306,0.655271642,0.676541974
13001,0.851346645,0.788733758,0.820040202
13003,0.515201546,0.45378677,0.484494158
13005,0.748371426,0.696816983,0.722594205
13007,0.433943937,0.38057565,0.407259794
13009,2.112661784,2.076051063,2.094356424
13011,0.958024483,0.963891646,0.960958065
13013,4.08840874,3.93650463,4.012456685
13015,2.612196411,2.608282634,2.610239523
13017,1.038349464,1.059017561,1.048683513
13019,0.688225012,0.641433925,0.664829469
13021,8.209943217,8.253858226,8.231900722
13023,0.82656456,0.777928631,0.802246596
13025,0.573026863,0.5055179,0.539272382
13027,0.684733542,0.662188259,0.673460901
13029,1.101068352,1.006854759,1.053961556
13031,1.490119167,1.509999576,1.500059372
13033,1.083840739,1.09806531,1.090953025
13035,2.041667585,1.996413483,2.019040534
13037,0.515559292,0.46743585,0.491497571
13039,1.04715402,1.004210359,1.02568219
13043,0.867795962,0.858140628,0.862968295
13045,2.308768354,2.447386784,2.378077569
13047,3.32260737,3.457070176,3.389838773
13049,0.448245893,0.38537522,0.416810557
13051,6.880832962,6.685983649,6.783408306
13053,1.848630189,1.915487578,1.882058884
13055,0.791978465,0.777627176,0.784802821
13057,4.212822581,4.1805827,4.196702641
13059,7.591799341,7.391007085,7.491403213
13061,0.450431938,0.387513245,0.418972592
13063,20.74359035,21.22305965,20.983325
13065,0.410580179,0.346802478,0.378691329
13067,17.10826755,17.81526614,17.46176685
13069,1.013714224,0.962877099,0.988295662
13071,1.143037705,1.116765173,1.129901439
13073,4.247609118,4.073117152,4.160363135
13075,1.547344066,1.54563563,1.546489848
13077,2.992401587,3.01538276,3.003892174
13079,0.672152643,0.660344679,0.666248661
13081,1.661278276,1.6001497,1.630713988
13083,1.063076369,1.099914672,1.081495521
13085,1.209683548,1.177230439,1.193456994
13087,0.819422248,0.763853738,0.791637993
13089,20.43012708,21.16392955,20.79702832
13091,0.689906709,0.644303406,0.667105058
13093,0.79465027,0.720263918,0.757457094
13095,4.448964858,4.422491766,4.435728312
13097,6.248231623,6.459552991,6.353892307
13099,0.648589039,0.606370934,0.627479987
13101,0.394043727,0.337698312,0.36587102
13103,1.377956864,1.223301538,1.300629201
13105,0.806789008,0.770268053,0.788528531
13107,0.737488961,0.707909167,0.722699064
13109,1.029065001,1.03804836,1.033556681
13111,0.636105799,0.591040769,0.613573284
13113,5.180419117,5.198447482,5.1894333
13115,1.99243963,1.951085976,1.971762803
13117,6.725490832,6.931812244,6.828651538
13119,1.238034966,1.255719201,1.246877084
13121,20.32995377,20.92050329,20.62522853
13123,0.675536464,0.623311002,0.649423733
13125,0.510196547,0.456992649,0.483594598
13127,2.144317815,2.077168883,2.110743349
13129,1.605011485,1.628174451,1.616592968
13131,0.864402108,0.812140646,0.838271377
13133,0.778049457,0.716074385,0.747061921
13135,14.7910373,15.1744416,14.98273945
13137,1.378726234,1.372701958,1.375714096
13139,3.924924872,4.085980807,4.00545284
13141,0.565239889,0.510458037,0.537848963
13143,1.169082869,1.159804004,1.164443437
13145,0.845680577,0.801751707,0.823716142
13147,1.257053468,1.21895972,1.238006594
13149,0.710816493,0.713266935,0.712041714
13151,7.36305902,7.298817169,7.330938095
13153,4.983377597,5.048860043,5.01611882
13155,0.560786656,0.516705535,0.538746096
13157,2.870119357,2.786261584,2.828190471
13159,0.659726911,0.620476433,0.640101672
13161,0.784980452,0.72787986,0.756430156
13163,0.790644931,0.760231979,0.775438455
13165,0.554986179,0.507864758,0.531425469
13167,0.611967802,0.566863826,0.589415814
13169,0.956478323,0.906280609,0.931379466
13171,1.316850677,1.309838368,1.313344523
13173,0.692961924,0.683641964,0.688301944
13175,1.067902906,1.038464814,1.05318386
13177,1.009933235,0.992165692,1.001049464
13179,1.720854845,1.623566659,1.672210752
13181,0.622897345,0.569711426,0.596304386
13183,0.574593147,0.514004827,0.544298987
13185,3.302593004,3.507719755,3.40515638
13187,0.7964681,0.80512523,0.800796665
13189,1.26073918,1.247241297,1.253990239
13191,0.545942113,0.475218894,0.510580504
13193,0.708505065,0.664441009,0.686473037
13195,0.93787695,0.908623649,0.9232503
13197,0.486031616,0.45084099,0.468436303
13199,0.725075413,0.678469308,0.701772361
13201,0.587508326,0.537312224,0.562410275
13205,0.869806323,0.858165548,0.863985936
13207,1.353196451,1.322962172,1.338079312
13209,0.66306303,0.632005678,0.647534354
13211,1.068508113,0.993992047,1.03125008
13213,0.985639401,0.953671772,0.969655587
13215,10.02706827,10.21256658,10.11981743
13217,3.814340826,3.854699645,3.834520236
13219,1.88998187,1.902017883,1.895999877
13221,0.574071265,0.522634935,0.5483531
13223,3.246980193,3.245247389,3.246113791
13225,6.97836914,8.024157818,7.501263479
13227,1.091032736,1.072593707,1.081813222
13229,0.77133477,0.697883733,0.734609252
13231,0.903902816,0.869108587,0.886505702
13233,1.278647369,1.391982904,1.335315137
13235,0.679103746,0.644237975,0.661670861
13237,0.874345351,0.814681306,0.844513329
13239,0.533304824,0.492073099,0.512688962
13241,0.565091291,0.533698348,0.54939482
13243,0.477587769,0.418458252,0.448023011
13245,9.841761069,10.02012581,9.93094344
13247,7.446349535,7.577458617,7.511904076
13249,0.508169791,0.468259722,0.488214757
13251,0.523282648,0.461430669,0.492356659
13253,0.686466425,0.622239872,0.654353149
13255,3.629171327,3.746010135,3.687590731
13257,1.579493239,1.59479469,1.587143965
13259,0.421476894,0.380392929,0.400934912
13261,0.994129452,0.960994554,0.977562003
13263,0.501212697,0.452300071,0.476756384
13265,0.436742316,0.375875427,0.406308872
13267,0.794749591,0.749040684,0.771895138
13269,0.565197557,0.521859623,0.54352859
13271,0.627264375,0.571392893,0.599328634
13273,0.624972752,0.611618458,0.618295605
13275,1.319992487,1.341018995,1.330505741
13277,2.77257316,2.798200193,2.785386677
13279,1.221153263,1.198963733,1.210058498
13281,0.681958514,0.681470782,0.681714648
13283,0.581371227,0.536994931,0.559183079
13285,2.157958085,2.147275112,2.152616599
13287,0.775055541,0.708627807,0.741841674
13289,0.812197639,0.803354655,0.807776147
13291,0.643350798,0.608117175,0.625733987
13293,1.104358238,1.099003926,1.101681082
13295,1.135892957,1.153025044,1.144459001
13297,2.705922855,2.726968954,2.716445905
13299,0.83702715,0.772789416,0.804908283
13301,0.695026751,0.600587738,0.647807245
13303,0.812194539,0.77298635,0.792590445
13305,0.794532027,0.749364071,0.771948049
13307,0.497637144,0.442305574,0.469971359
13309,0.524940947,0.470663753,0.49780235
13311,1.022128666,1.012415659,1.017272163
13313,2.990034706,3.125642256,3.057838481
13315,0.496963279,0.450926896,0.473945088
13317,0.514588904,0.45960453,0.487096717
13319,0.765686583,0.760975584,0.763331084
13321,0.907533001,0.899984162,0.903758582
15001,0.285352838,0.193518048,0.239435443
15003,1.676837161,1.614166928,1.645502045
15005,0.21624695,0.137772084,0.177009517
15007,0.318629384,0.237607265,0.278118325
15009,0.416888563,0.332389938,0.374639251
