fips,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Mean
01055,2.56554078,2.716506895,2.847017568,2.47689209,2.549782936,2.455432869,2.417784191,2.276872021,2.486884565,2.378391471,2.736799246,2.416930992,2.527069635
01057,0.596297509,0.464485583,0.734617737,0.656195937,0.651422018,0.650913062,0.511326999,0.499836173,0.569588248,0.636568369,0.691594581,0.55302643,0.60132272
01059,0.950822482,0.694940192,0.941317878,0.913535514,0.838405842,0.128828199,0.776122579,0.77713454,0.849454853,0.926216786,0.949914258,0.679832751,0.785543823
01061,0.648800636,0.657771386,0.81449027,0.768227878,0.802343653,0.701748866,0.634316484,0.598434708,0.683385142,0.778847141,0.792746296,0.710383062,0.71595796
01063,0.433025581,0.383516159,0.524697336,0.494661543,0.48785767,0.475325824,0.37935888,0.361767554,0.449778924,0.507258658,0.579303083,0.429924203,0.458872951
01065,0.510074239,0.444668576,0.591467812,0.569427299,0.587248914,0.527104678,0.469340333,0.452962138,0.514036484,0.558237353,0.685050375,0.514454343,0.535339378
01067,0.531795827,0.526588425,0.651136363,0.680948832,0.694976403,0.619124441,0.547578241,0.485048435,0.597011923,0.697491305,0.751387231,0.595086935,0.614847864
01069,2.636999511,2.73062256,3.12889038,2.744649654,2.898282469,2.450720213,2.556154784,2.353715819,2.68884033,2.675305176,2.852597656,2.663710939,2.698374124
01071,0.856903798,0.88579262,1.04159309,0.891481973,0.867305392,0,0.792989915,0.776107252,0.878723956,0.85145661,0.9508672,0.824505102,0.801477242
01073,8.206769857,7.00700492,8.406708927,7.624878769,7.103186462,6.549985848,7.021551995,6.736825844,7.146048003,7.074448004,7.668171075,7.744298464,7.357489847
01075,0.571860757,0.475671149,0.659773244,0.63191659,0.610696216,0.519366453,0.49592867,0.507821331,0.561507521,0.617182085,0.64463081,0.498702142,0.566254747
01077,1.834349261,1.522580281,1.737149603,1.779157539,1.197964677,0,1.476177748,1.479590102,1.576821873,1.635612014,1.723897807,1.436772761,1.450006139
01079,0.817916587,0.6733422,0.84901482,0.822414022,0.804563936,0.017443473,0.717784532,0.685898726,0.776875355,0.805268858,0.848202545,0.726819304,0.712128697
01081,3.272522343,2.921823321,3.872429586,3.328131435,3.428335027,2.877457299,3.213051688,3.074817328,3.310282772,2.867826037,3.760331411,3.320005658,3.270584492
01083,2.533903393,2.091525271,2.200489744,2.37782136,2.075392805,0,2.167538942,2.090954834,2.271133026,2.252342259,2.214722625,2.348436624,2.05202174
01085,0.448325923,0.448298859,0.568665185,0.568541465,0.562590373,0.495125653,0.486670211,0.438375218,0.492944133,0.546475932,0.663332687,0.490368259,0.517476158
01087,0.810201281,0.680234447,0.987299862,0.864874198,0.903991307,0.761352926,0.809949679,0.761131061,0.825340804,0.81679666,0.978493824,0.786748628,0.832201223
01089,6.624197775,5.405980039,6.115244488,5.78446448,5.369129418,0,5.37454835,5.248445859,5.660452071,5.600642456,5.741347813,6.123131762,5.253965376
01091,0.581147494,0.443654613,0.615101794,0.649583571,0.666723376,0.579530183,0.54283955,0.504584993,0.599671839,0.565421413,0.757503558,0.5453125,0.587589574
01093,0.865493685,0.660302388,0.879832211,0.899719737,0.797821517,0.837660182,0.716443256,0.704528441,0.788452107,0.865130449,0.907170645,0.646224763,0.797398282
01095,2.085668453,2.011689476,2.330548561,1.970385415,1.978486807,0.190180663,1.871364282,1.788450672,1.93219205,1.811316107,2.010513522,2.01250958,1.832775466
01097,4.340954544,2.844072729,3.132982251,3.748232033,4.216511685,3.548708658,3.625601734,3.482776193,3.813169694,3.407955843,3.638614717,3.815753248,3.634611111
01099,0.631610308,0.495820834,0.591570767,0.680031361,0.685362013,0.596713254,0.576592582,0.547486365,0.628170847,0.622090946,0.736572129,0.588386965,0.615034031
01101,4.713860183,4.26189632,5.171904221,4.427075692,4.843755807,4.149369356,4.38131041,4.264604859,4.635944214,4.19867117,4.934930269,4.58314622,4.547205727
01103,3.315696719,2.651245448,2.93731102,2.907324677,2.657523907,0,2.676591533,2.679804187,2.88802937,2.818054416,2.823514343,2.978971992,2.611172301
01105,0.384944578,0.353095904,0.475573976,0.489266506,0.479720483,0.404483856,0.378680482,0.347488193,0.405388915,0.451280965,0.563225059,0.405461205,0.42821751
01107,0.561400312,0.489849688,0.712700933,0.61515732,0.641915108,0.551907321,0.485698598,0.493076323,0.563876168,0.622384734,0.656944703,0.543154984,0.578172183
01109,1.166060448,1.049353829,1.253002605,1.221639393,1.318011464,1.089095362,1.179017195,1.15394789,1.2392173,1.252648252,1.38486816,1.223735278,1.210883098
01111,0.701980986,0.681473558,0.764804515,0.659813428,0.717460486,0.60781937,0.630148544,0.576676173,0.668155673,0.696518121,0.818795008,0.655427213,0.681589423
01113,1.196956052,1.037989419,1.41616888,1.302893854,1.370387647,1.188082283,1.225186266,1.155540437,1.27855523,1.275272649,1.479267896,1.229855306,1.263012993
01115,1.65742017,1.512924438,1.826459058,1.543996204,1.617787965,1.490312995,1.466132363,1.414689642,1.523012961,1.48414269,1.676726736,1.593987774,1.567299416
01117,3.039031209,2.651348285,3.308284153,2.902639432,2.834602596,2.507392119,2.646416509,2.553622718,2.766322701,2.63665018,3.005240492,3.029022685,2.82338109
01119,0.462644969,0.416745359,0.577584995,0.543822294,0.532199557,0.530815953,0.433024677,0.421633433,0.502645733,0.509236764,0.616370233,0.445344946,0.499339076
01121,2.197816018,2.002084089,2.329349802,2.118030331,2.153491645,1.864026518,1.982718849,1.897587175,2.042946781,1.977061387,2.232005993,1.938784961,2.061325296
01123,0.927725659,0.87633391,1.043037616,0.87661809,0.934300027,0.856470534,0.850698606,0.791092996,0.872072138,0.893483013,1.044736314,0.866653611,0.902768543
01125,2.538375053,2.067829296,2.683983382,2.420639616,2.275999692,2.082495384,2.150870434,2.094594276,2.293317602,2.156037136,2.492786727,2.449309088,2.308853141
01127,1.452773503,1.300007692,1.65771795,1.385592308,1.388520513,1.433611965,1.190975214,1.133946153,1.27618376,1.291742735,1.425870084,1.32259829,1.354961681
01129,0.745064293,0.517462008,0.593959605,0.748307574,0.750316276,0.647060657,0.651133913,0.568718664,0.685249382,0.657751655,0.795933237,0.63865632,0.666634465
01131,0.403529684,0.333223933,0.457588822,0.500362257,0.497368218,0.429445778,0.402237016,0.360369998,0.427740537,0.451887144,0.547869803,0.392038857,0.433638504
01133,0.648307675,0.544106678,0.737613832,0.691711837,0.675431483,0.643802037,0.556537294,0.539535993,0.62651019,0.681315047,0.731246746,0.565960537,0.636839946
02013,0.358099824,0.387422068,0.339223629,0,0,0,0,0,0.199629763,0.325581702,0.429073268,0.534882026,0.21449269
02016,0.326461184,0.333160779,0.36124813,0.007401161,0,0,0,0,0.189465061,0.326208882,0.435450073,0.438350166,0.201478786
02020,5.453259719,6.068328486,5.621291267,0,0,0,0,0,0,2.24136179,3.072137953,5.016603978,2.289415266
02050,0.640452533,0.582675174,0.472146759,0,0,0,0,0,0,0.569271767,0.586313414,0.656017329,0.292239748
02060,0.577471197,0.405650504,0.417367262,0,0,0,0,0,0,0.427281244,0.619671802,0.662274844,0.259143071
02063,0.622590184,0.505327919,0.458140427,0,0,0,0,0,0,0.654589931,0.502416917,0.680351854,0.285284769
02066,0.774130642,0.766319394,0.701911602,0,0,0,0,0,0,1.154944693,0.57655765,0.68588394,0.388312327
02068,0.891769125,1.090259787,1.487297915,0,0,0,0,0,0,1.190007447,0.820186101,0.725566671,0.517090587
02070,0.620125876,0.514968101,0.457045217,0,0,0,0,0,0,0.47422911,0.589831607,0.649311474,0.275459282
